State,Year,Wind_MU,Solar_MU,Biomass_MU,Bagasse_MU,Small_Hydro_MU,Others_MU,Total_RE_MU,Large_Hydro_MU,Region,Solar_Share_Pct,YoY_Solar_Growth_Pct,Emission_Avoided_MT,Solar_Wind_Ratio,Irradiance_GHI,Panel_Efficiency,Cost_Solar_INR,Cost_Coal_INR,Cost_Saving_INR,Anomaly_Flag
Sikkim *,2025,0.0,0.0,0.0,0.0,1.02958,0.0,50.129160000000006,48.07,Other,0.0,,0.0411,,,0.2,2.38,4.05,1.67,0
Tamil Nadu,2022,17.34,93.66,11.72,0.0,1160.4286100000002,0.0,2566.2972200000004,,South,3.65,,2.1044,5.401,5.2,0.185,2.65,3.6,0.95,0
Tamil Nadu,2023,10.85,115.187,10.45,0.0,1529.85,0.0,3332.674,,South,3.46,22.98,2.7328,10.616,5.2,0.19,2.55,3.75,1.2,0
Tamil Nadu,2024,331.00500000000005,1242.661,10.934,78.765,16.734,0.0,3544.0980000000004,183.9,South,35.06,978.82,2.9062,3.754,5.2,0.195,2.45,3.9,1.45,0
Tamil Nadu,2025,474.83699999999993,1603.082,9.38,48.71,11.95,0.0,4518.268,222.35,South,35.48,29.0,3.705,3.376,5.2,0.2,2.38,4.05,1.67,0
Tamil Nadu,2026,501.42,2186.0200000000004,8.97,11.65,11.95,0.0,5611.9400000000005,171.92,South,38.95,36.36,4.6018,4.36,5.2,0.205,2.3,4.2,1.9,0
Telangana,2022,12.238,10.017,6.78,7.994,707.6350000000001,0.0,1489.3280000000002,,South,0.67,,1.2212,0.819,5.3,0.185,2.65,3.6,0.95,0
Telangana,2023,9.088,19.41,7.118,17.309,742.004,0.0,1589.858,,South,1.22,93.77,1.3037,2.136,5.3,0.19,2.55,3.75,1.2,0
Telangana,2024,19.884,690.4,3.311,10.556,2.045,20.508,1520.8580000000002,27.45,South,45.4,3456.93,1.2471,34.721,5.3,0.195,2.45,3.9,1.45,0
Telangana,2025,21.124,722.901,2.272,0.592,2.316,21.054,1744.968,204.45,South,41.43,4.71,1.4309,34.222,5.3,0.2,2.38,4.05,1.67,0
Telangana,2026,16.548,715.139,3.801,8.371,2.371,39.061,1753.622,183.04,South,40.78,-1.07,1.438,43.216,5.3,0.205,2.3,4.2,1.9,0
Tripura,2023,0.0,0.0,0.0,0.0,0.57,0.0,1.14,,Northeast,0.0,,0.0009,,,0.19,2.55,3.75,1.2,0
Tripura,2026,0.0,0.56610152,0.0,0.0,0.0,0.0,1.13220304,0.0,Northeast,50.0,,0.0009,,,0.205,2.3,4.2,1.9,0
Tripura *,2022,0.0,0.0,1.442005,0.0,1.970829,0.0,6.825668,,Other,0.0,,0.0056,,,0.185,2.65,3.6,0.95,0
Tripura *,2025,0.0,0.6085684,0.0,0.0,0.0,0.0,1.2171368,0.0,Other,50.0,,0.001,,,0.2,2.38,4.05,1.67,0
Tripura*,2024,0.0,2.5044,0.0,0.0,0.0,0.0,5.0088,0.0,Other,50.0,,0.0041,,,0.195,2.45,3.9,1.45,0
Uttar Pradesh,2022,8.755,536.79,10.594,0.0,813.952,0.0,2740.182,,North,19.59,,2.2469,61.312,4.9,0.185,2.65,3.6,0.95,0
Uttar Pradesh,2023,9.499,549.003,21.339000000000002,0.0,928.216,0.0,3016.1140000000005,,North,18.2,2.28,2.4732,57.796,4.9,0.19,2.55,3.75,1.2,0
Uttar Pradesh,2024,0.0,458.82199999999995,7.176,438.7,11.733,2.047,1872.0259999999998,35.07,North,24.51,-16.43,1.5351,,4.9,0.195,2.45,3.9,1.45,0
Uttar Pradesh,2025,0.0,564.831,11.963,377.61,13.564,1.754,2030.404,90.96,North,27.82,23.1,1.6649,,4.9,0.2,2.38,4.05,1.67,0
Uttar Pradesh,2026,0.0,571.2969999999999,10.759,313.686,7.4718,3.716,1924.7296000000001,110.87,North,29.68,1.14,1.5783,,4.9,0.205,2.3,4.2,1.9,0
Uttarakhand,2022,0.0,20.26,26.78,0.0,71.67,0.0,237.42000000000002,,North,8.53,,0.1947,,4.4,0.185,2.65,3.6,0.95,0
Uttarakhand,2023,0.0,20.71,29.45,0.0,77.81,0.0,255.94,,North,8.09,2.22,0.2099,,4.4,0.19,2.55,3.75,1.2,0
Uttarakhand,2026,0.0,27.65,0.0,20.71,29.45,0.0,1057.74,902.12,North,2.61,33.51,0.8673,,4.4,0.205,2.3,4.2,1.9,0
Uttarakhand *,2024,0.0,27.65,0.0,20.71,26.67,0.0,860.81,710.75,Other,3.21,,0.7059,,,0.195,2.45,3.9,1.45,0
Uttarakhand *,2025,0.0,27.65,0.0,20.71,29.45,0.0,931.8199999999999,776.2,Other,2.97,0.0,0.7641,,,0.2,2.38,4.05,1.67,0
West Bengal,2022,0.0,0.0,3.698447,130.792655,144.64001199999998,0.0,558.2622279999999,,East,0.0,,0.4578,,4.5,0.185,2.65,3.6,0.95,0
West Bengal,2023,0.0,0.0,8.828791,144.3077093,164.41298030000002,0.0,635.0989612000001,,East,0.0,,0.5208,,4.5,0.19,2.55,3.75,1.2,0
West Bengal,2024,0.0,21.525094,2.489,0.0,13.2610985,137.35666,480.973705,131.71,East,4.48,,0.3944,,4.5,0.195,2.45,3.9,1.45,0
West Bengal,2025,0.0,43.190355,0.0,0.0,13.385,131.219247,527.259204,151.67,East,8.19,100.65,0.4324,,4.5,0.2,2.38,4.05,1.67,0
West Bengal,2026,0.0,41.376999999999995,0.0,0.0,8.749,127.269,471.53999999999996,116.75,East,8.77,-4.2,0.3867,,4.5,0.205,2.3,4.2,1.9,0
