State,Year,Wind_MU,Solar_MU,Biomass_MU,Bagasse_MU,Small_Hydro_MU,Others_MU,Total_RE_MU,Large_Hydro_MU,Region,Solar_Share_Pct,YoY_Solar_Growth_Pct,Emission_Avoided_MT,Solar_Wind_Ratio,Irradiance_GHI,Panel_Efficiency,Cost_Solar_INR,Cost_Coal_INR,Cost_Saving_INR,Anomaly_Flag
Bihar,2022,2.13902,0.0,0.0,0.0,13.6885732,0.0,31.6551864,,East,0.0,,0.026,0.0,4.6,0.185,2.65,3.6,0.95,0
Bihar,2023,0.0,8.11742557,1.61760266,0.0,27.905664629999997,0.0,75.28138571999999,,East,10.78,,0.0617,,4.6,0.19,2.55,3.75,1.2,0
Bihar,2024,0.0,22.72943,0.0,19.1094464,0.13393255,0.0,83.9456179,0.0,East,27.08,180.01,0.0688,,4.6,0.195,2.45,3.9,1.45,0
Bihar,2026,0.0,33.71,0.0,9.539,2.25,0.0,90.998,0.0,East,37.04,48.31,0.0746,,4.6,0.205,2.3,4.2,1.9,0
Bihar *,2025,0.0,35.097593,0.0,12.484484,2.613401,0.0,100.39095600000002,0.0,Other,34.96,,0.0823,,,0.2,2.38,4.05,1.67,0
Chandigarh,2022,0.0,0.0,0.0,0.0,1.71,0.0,3.42,,North,0.0,,0.0028,,4.65,0.185,2.65,3.6,0.95,0
Chandigarh,2023,0.0,0.0,0.0,0.0,0.99,0.0,1.98,,North,0.0,,0.0016,,4.65,0.19,2.55,3.75,1.2,0
Chandigarh,2024,0.0,0.63,0.0,0.0,0.0,0.0,1.26,0.0,North,50.0,,0.001,,4.65,0.195,2.45,3.9,1.45,0
Chandigarh,2026,0.0,0.6699999999999999,0.0,0.0,0.0,0.0,1.3399999999999999,0.0,North,50.0,6.35,0.0011,,4.65,0.205,2.3,4.2,1.9,0
Chandigarh*,2025,0.0,0.4,0.0,0.0,0.0,0.0,0.8,0.0,Other,50.0,,0.0007,,,0.2,2.38,4.05,1.67,0
Chhattisgarh,2022,118.757453,6.365786,7.688224,0.0,167.76579399999997,0.0,601.154514,,East,1.06,,0.4929,0.054,5.0,0.185,2.65,3.6,0.95,0
Chhattisgarh,2023,137.388416,2.083,5.11923,0.0,193.481516,1897.8870000000002,4471.918324,,East,0.05,-67.28,3.667,0.015,5.0,0.19,2.55,3.75,1.2,0
Chhattisgarh,2024,0.0,131.001987,104.7876,2.9972,1.70395,0.0,506.261474,25.28,East,25.88,6189.1,0.4151,,5.0,0.195,2.45,3.9,1.45,0
Chhattisgarh,2025,0.0,155.0078332,143.939,3.1123,4.639919,0.0,660.5481044,47.15,East,23.47,18.32,0.5416,,5.0,0.2,2.38,4.05,1.67,0
Chhattisgarh,2026,0.0,241.255,135.128,0.1113,4.6267,0.0,811.3219999999999,49.08,East,29.74,55.64,0.6653,,5.0,0.205,2.3,4.2,1.9,0
Dadra & NH + D&D,2026,0.0,1.6904919999999999,1.049233,0.0,0.0,0.0,5.47945,0.0,West,30.85,,0.0045,,,0.205,2.3,4.2,1.9,0
Dadra And Nagar Haveli,2022,0.0,0.0,0.0,0.0,0.743977,0.0,1.487954,,Other,0.0,,0.0012,,,0.185,2.65,3.6,0.95,0
Dadra And Nagar Haveli,2023,0.0,0.0,0.0,0.0,5.793167,0.0,11.586334,,Other,0.0,,0.0095,,,0.19,2.55,3.75,1.2,0
Dadra And Nagar Haveli,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,,,0.0,,,0.195,2.45,3.9,1.45,0
Dadra And Nagar Haveli,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,,,0.0,,,0.2,2.38,4.05,1.67,0
